Hostname,Datetime,IP,Name,Description,PID,VID,SN
NYCLOSX119,1/9/2024 11:08:12 PM,10.121.11.119,1,WS-C2960CX-8PC-L,WS-C2960CX-8PC-L,V02,FOC2029W02H
NYCLOVR004,1/9/2024 11:07:52 PM,10.121.51.15,VG224 chassis,VG224 chassis,VG224,V04,FHK1328F0T5
NYCLOSX110,1/9/2024 11:08:22 PM,10.121.11.110,1,WS-C2960CX-8PC-L,WS-C2960CX-8PC-L,V02,FOC2029W01Y
NYCLOSX136,1/9/2024 11:08:07 PM,10.121.11.136,1,WS-C2960X-24PS-L,WS-C2960X-24PS-L,V04,FCW2030A4BH
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,c38xx Stack,c38xx Stack,WS-C3850-12X48UL-S,V02,FOC2033U237
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,Switch 1,WS-C3850-12X48UL-S,WS-C3850-12X48UL-S,V02,FOC2033U237
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,StackPort1/1,StackPort1/1,STACK-T1-3M,V01,MOC2048A8N3
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOC2026A5JW
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V01,DTN2023V00Q
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V01,DTN2023V00T
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,Switch 1 FRU Uplink Module 1,2x1G 2x10G Uplink Module,C3850-NM-2-10G,V01,FOC20325ET5
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,Te1/1/3,SFP-10GBase-SR,SFP-10G-SR,V02,FNS14150VYN
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,Te1/1/4,SFP-10GBase-SR,SFP-10G-SR,V03,AGA160241SN
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,Switch 2,WS-C3850-12X48UL-S,WS-C3850-12X48UL-S,V02,FCW2033D1JD
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOC2026A5JW
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,LCC2028G5GG
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC,V01,DTN2023V00S
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC,V01,DTN2023V00N
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,Switch 2 FRU Uplink Module 1,2x1G 2x10G Uplink Module,C3850-NM-2-10G,V01,FOC20325EPK
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,Te2/1/3,SFP-10GBase-LRM,SFP-10G-LRM,V03,FNS20301MFG
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,Switch 3,WS-C3850-12X48UL-S,WS-C3850-12X48UL-S,V02,FCW2033F1PC
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,StackPort3/1,StackPort3/1,STACK-T1-50CM,V01,LCC2028G5GG
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,StackPort3/2,StackPort3/2,STACK-T1-50CM,V01,LCC2028G5DA
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,Switch 3 - Power Supply A,Switch 3 - Power Supply A,PWR-C1-1100WAC,V01,DTN2025V0MB
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,Switch 3 - Power Supply B,Switch 3 - Power Supply B,PWR-C1-1100WAC,V01,DTN2023V00R
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,Switch 4,WS-C3850-12X48U-S,WS-C3850-12X48U-S,V02,FOC2106U0W6
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,StackPort4/1,StackPort4/1,STACK-T1-50CM,V01,LCC2028G5DA
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,StackPort4/2,StackPort4/2,STACK-T1-3M,V01,MOC2048A8N3
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,Switch 4 - Power Supply A,Switch 4 - Power Supply A,PWR-C1-1100WAC,V02,DTN2048V07E
NYCLOSX010,1/9/2024 11:08:28 PM,10.121.11.20,Switch 4 - Power Supply B,Switch 4 - Power Supply B,PWR-C1-1100WAC,V02,DTN2048V07D
NYCLOSX014,1/9/2024 11:08:25 PM,10.121.11.24,c38xx Stack,c38xx Stack,WS-C3850-12X48U-S,V02,FCW2106C0V0
NYCLOSX014,1/9/2024 11:08:25 PM,10.121.11.24,Switch 1,WS-C3850-12X48U-S,WS-C3850-12X48U-S,V02,FCW2106C0V6
NYCLOSX014,1/9/2024 11:08:25 PM,10.121.11.24,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC2051A3HG
NYCLOSX014,1/9/2024 11:08:25 PM,10.121.11.24,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOC2050A6TK
NYCLOSX014,1/9/2024 11:08:25 PM,10.121.11.24,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V02,LIT20503FHH
NYCLOSX014,1/9/2024 11:08:25 PM,10.121.11.24,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V02,LIT20503G6F
NYCLOSX014,1/9/2024 11:08:25 PM,10.121.11.24,Switch 2,WS-C3850-12X48U-S,WS-C3850-12X48U-S,V02,FOC2106U0WB
NYCLOSX014,1/9/2024 11:08:25 PM,10.121.11.24,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOC2050A6TK
NYCLOSX014,1/9/2024 11:08:25 PM,10.121.11.24,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOC2050A6U0
NYCLOSX014,1/9/2024 11:08:25 PM,10.121.11.24,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC,V02,LIT20503FFG
