Hostname,Datetime,IP,Name,Description,PID,VID,SN
LUXLOWC001,1/9/2024 11:05:35 PM,10.190.31.250,Chassis 1,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL26520029
LUXLOWC001,1/9/2024 11:05:35 PM,10.190.31.250,Chassis 1 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
LUXLOWC001,1/9/2024 11:05:35 PM,10.190.31.250,Chassis 1 Fan Tray,Cisco C9800-L-C-K9 Fan Tray,C9800-L-C-K9-FAN,,
LUXLOWC001,1/9/2024 11:05:35 PM,10.190.31.250,module 0,Cisco C9800-L-C-K9 Modular Interface Processor,C9800-L-C-K9,,
LUXLOWC001,1/9/2024 11:05:35 PM,10.190.31.250,SPA subslot 0/0,Front Panel bay-0 4 ports 2.5 Gigabitethernet Module,BUILT-IN-4x2_5GE,V01,N/A
LUXLOWC001,1/9/2024 11:05:35 PM,10.190.31.250,SPA subslot 0/1,Front Panel bay-1 2 ports Ten/Gigabitethernet Module,BUILT-IN-2x10GE-C,V01,N/A
LUXLOWC001,1/9/2024 11:05:35 PM,10.190.31.250,module R0,Cisco C9800-L-C-K9 Route Processor,C9800-L-C-K9,01,FCL26520029
LUXLOWC001,1/9/2024 11:05:35 PM,10.190.31.250,module F0,Cisco C9800-L-C-K9 Embedded Services Processor,C9800-L-C-K9,,
LUXLOWC001,1/9/2024 11:05:35 PM,10.190.31.250,Chassis 2,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL26520103
LUXLOWC001,1/9/2024 11:05:35 PM,10.190.31.250,Chassis 2 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
LUXLOWC001,1/9/2024 11:05:35 PM,10.190.31.250,Chassis 2 Fan Tray,Cisco C9800-L-C-K9 Fan Tray,C9800-L-C-K9-FAN,", SN:",
LUXLOSX002,1/9/2024 11:05:56 PM,10.183.11.2,1,WS-C3560CX-12PD-S,WS-C3560CX-12PD-S,V04,FOC2347L1CL
LUXLOSX001,1/9/2024 11:05:56 PM,10.183.11.1,1,WS-C2960CX-8PC-L,WS-C2960CX-8PC-L,V03,FOC2303T32S
LUXLOFW003,1/9/2024 11:05:50 PM,10.183.252.1,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2541X19K
LUXLOLR001,1/9/2024 11:05:50 PM,10.183.51.251,887VA-V,"887VA-V chassis, Hw Serial#: FCZ1821C1GS, Hw Revision: 1.0",C887VA-V-W-E-K9,V01,FCZ1821C1GS
LUXLOLR001,1/9/2024 11:05:50 PM,10.183.51.251,PVDMII DSP SIMM with one DSP on Motherboard,PVDMII DSP SIMM with one DSP on Motherboard,PVDM2-16,V01,FOC18152ADQ
LUXLOCX001,1/9/2024 11:05:56 PM,10.183.11.250,1,WS-C3560CX-12PD-S,WS-C3560CX-12PD-S,V04,FOC2347L1D0
LUXLOWC001,1/9/2024 11:05:35 PM,10.190.31.250,Chassis 1,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL26520029
LUXLOWC001,1/9/2024 11:05:35 PM,10.190.31.250,Chassis 1 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
LUXLOWC001,1/9/2024 11:05:35 PM,10.190.31.250,Chassis 1 Fan Tray,Cisco C9800-L-C-K9 Fan Tray,C9800-L-C-K9-FAN,,
LUXLOWC001,1/9/2024 11:05:35 PM,10.190.31.250,module 0,Cisco C9800-L-C-K9 Modular Interface Processor,C9800-L-C-K9,,
LUXLOWC001,1/9/2024 11:05:35 PM,10.190.31.250,SPA subslot 0/0,Front Panel bay-0 4 ports 2.5 Gigabitethernet Module,BUILT-IN-4x2_5GE,V01,N/A
LUXLOWC001,1/9/2024 11:05:35 PM,10.190.31.250,SPA subslot 0/1,Front Panel bay-1 2 ports Ten/Gigabitethernet Module,BUILT-IN-2x10GE-C,V01,N/A
LUXLOWC001,1/9/2024 11:05:35 PM,10.190.31.250,module R0,Cisco C9800-L-C-K9 Route Processor,C9800-L-C-K9,01,FCL26520029
LUXLOWC001,1/9/2024 11:05:35 PM,10.190.31.250,module F0,Cisco C9800-L-C-K9 Embedded Services Processor,C9800-L-C-K9,,
LUXLOWC001,1/9/2024 11:05:35 PM,10.190.31.250,Chassis 2,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL26520103
LUXLOWC001,1/9/2024 11:05:35 PM,10.190.31.250,Chassis 2 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
LUXLOWC001,1/9/2024 11:05:35 PM,10.190.31.250,Chassis 2 Fan Tray,Cisco C9800-L-C-K9 Fan Tray,C9800-L-C-K9-FAN,", SN:",
LUXLOSX002,1/9/2024 11:05:56 PM,10.183.11.2,1,WS-C3560CX-12PD-S,WS-C3560CX-12PD-S,V04,FOC2347L1CL
LUXLOSX001,1/9/2024 11:05:56 PM,10.183.11.1,1,WS-C2960CX-8PC-L,WS-C2960CX-8PC-L,V03,FOC2303T32S
