Hostname,Datetime,IP,Name,Description,PID,VID,SN
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,c93xx Stack,c93xx Stack,C9300-48UXM,V02,FCW2311L117
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,Switch 1,C9300-48UXM,C9300-48UXM,V02,FCW2311L117
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOG2707A3JA
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOG2707A5X1
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,ART2228FHJS
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,ART2228FHKH
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,Switch 1 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FOC23154S93
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,Twe1/1/1,SFP-10GBase-LR,SFP-10G-LR,V02,F2020619294
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,Twe1/1/2,SFP-10GBase-LR,SFP-10G-LR,V02,F2020619293
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,Switch 2,C9300-48UXM,C9300-48UXM,V03,FOC2713Y233
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOG2707A5X1
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOG2707A3JA
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC-P,V01,LIT2712CQEL
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC-P,V01,LIT2712CQCZ
BERLOSX008,1/9/2024 11:05:58 PM,10.142.11.8,Switch 2 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FVH2713053R
BERLOWC001.wcnet.whitecase.com,1/9/2024 11:05:47 PM,10.142.31.250,Chassis 1,Cisco C9800-L-F-K9 Chassis,C9800-L-F-K9,01,FCL263900ED
BERLOWC001.wcnet.whitecase.com,1/9/2024 11:05:47 PM,10.142.31.250,Chassis 1 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
BERLOWC001.wcnet.whitecase.com,1/9/2024 11:05:47 PM,10.142.31.250,Chassis 1 Fan Tray,Cisco C9800-L-F-K9 Fan Tray,C9800-L-F-K9-FAN,,
BERLOWC001.wcnet.whitecase.com,1/9/2024 11:05:47 PM,10.142.31.250,module 0,Cisco C9800-L-F-K9 Modular Interface Processor,C9800-L-F-K9,,
BERLOWC001.wcnet.whitecase.com,1/9/2024 11:05:47 PM,10.142.31.250,SPA subslot 0/0,Front Panel bay-0 4 ports 2.5 Gigabitethernet Module,BUILT-IN-4x2_5GE,V01,N/A
BERLOWC001.wcnet.whitecase.com,1/9/2024 11:05:47 PM,10.142.31.250,SPA subslot 0/1,Front Panel bay-1 2 ports Ten/Gigabitethernet Module,BUILT-IN-2x10GE-F,V01,N/A
BERLOWC001.wcnet.whitecase.com,1/9/2024 11:05:47 PM,10.142.31.250,module R0,Cisco C9800-L-F-K9 Route Processor,C9800-L-F-K9,01,FCL263900ED
BERLOWC001.wcnet.whitecase.com,1/9/2024 11:05:47 PM,10.142.31.250,module F0,Cisco C9800-L-F-K9 Embedded Services Processor,C9800-L-F-K9,,
BERLOWC001.wcnet.whitecase.com,1/9/2024 11:05:47 PM,10.142.31.250,Chassis 2,Cisco C9800-L-F-K9 Chassis,C9800-L-F-K9,01,FCL263900UY
BERLOWC001.wcnet.whitecase.com,1/9/2024 11:05:47 PM,10.142.31.250,Chassis 2 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
BERLOWC001.wcnet.whitecase.com,1/9/2024 11:05:47 PM,10.142.31.250,Chassis 2 Fan Tray,Cisco C9800-L-F-K9 Fan Tray,C9800-L-F-K9-FAN,", SN:",
BERLOSX007,1/9/2024 11:05:56 PM,10.142.11.7,c93xx Stack,c93xx Stack,C9300-48UXM,V02,FOC2308X13R
BERLOSX007,1/9/2024 11:05:56 PM,10.142.11.7,Switch 1,C9300-48UXM,C9300-48UXM,V02,FOC2308X13R
BERLOSX007,1/9/2024 11:05:56 PM,10.142.11.7,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC2222A0PN
BERLOSX007,1/9/2024 11:05:56 PM,10.142.11.7,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOC2222A0PG
BERLOSX007,1/9/2024 11:05:56 PM,10.142.11.7,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,ART2227FTC3
BERLOSX007,1/9/2024 11:05:56 PM,10.142.11.7,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,ART2227FTBZ
BERLOSX007,1/9/2024 11:05:56 PM,10.142.11.7,Switch 1 FRU Uplink Module 1,4x10G Uplink Module,C3850-NM-4-10G,V01,FOC17377TC6
BERLOSX007,1/9/2024 11:05:56 PM,10.142.11.7,Te1/1/1,SFP-10GBase-LR,SFP-10G-LR,V02,F2020619300
BERLOSX007,1/9/2024 11:05:56 PM,10.142.11.7,Te1/1/2,SFP-10GBase-LR,SFP-10G-LR,V02,F2020619299
BERLOSX007,1/9/2024 11:05:56 PM,10.142.11.7,Te1/1/3,SFP-10GBase-LR,SFP-10G-LR,V02,F2020619296
BERLOSX007,1/9/2024 11:05:56 PM,10.142.11.7,Te1/1/4,SFP-10GBase-LR,SFP-10G-LR,V02,F2020619295
BERLOSX007,1/9/2024 11:05:56 PM,10.142.11.7,usbflash1,usbflash1-1,SSD-240G,3.10,STP252314PH
BERLOSX007,1/9/2024 11:05:56 PM,10.142.11.7,Switch 2,C9300-48UXM,C9300-48UXM,V02,FCW2311D10B
BERLOSX007,1/9/2024 11:05:56 PM,10.142.11.7,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOC2222A0PN
BERLOSX007,1/9/2024 11:05:56 PM,10.142.11.7,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOC2222A0PG
BERLOSX007,1/9/2024 11:05:56 PM,10.142.11.7,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC-P,V01,ART2228FHNQ
BERLOSX007,1/9/2024 11:05:56 PM,10.142.11.7,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC-P,V01,ART2228FHPJ
BERLOSX007,1/9/2024 11:05:56 PM,10.142.11.7,Switch 2 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FOC23154S81
BERLOAX102,1/9/2024 11:05:56 PM,10.142.11.102,1,WS-C3560CX-12PD-S,WS-C3560CX-12PD-S,V04,FOC2347L1EY
BERLOSX0705,1/9/2024 11:06:07 PM,10.142.11.5,c93xx Stack,c93xx Stack,C9300-48UXM,V03,FOC2713Y2FV
BERLOSX0705,1/9/2024 11:06:07 PM,10.142.11.5,Switch 1,C9300-48UXM,C9300-48UXM,V03,FOC2713Y2FV
BERLOSX0705,1/9/2024 11:06:07 PM,10.142.11.5,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOG2707A5UF
BERLOSX0705,1/9/2024 11:06:07 PM,10.142.11.5,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOG2707A5T2
BERLOSX0705,1/9/2024 11:06:07 PM,10.142.11.5,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,LIT2712CUNF
BERLOSX0705,1/9/2024 11:06:07 PM,10.142.11.5,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,LIT2712CWAJ
BERLOSX0705,1/9/2024 11:06:07 PM,10.142.11.5,Switch 1 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FVH2713055Q
BERLOSX0705,1/9/2024 11:06:07 PM,10.142.11.5,Twe1/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS26260EQY
BERLOSX0705,1/9/2024 11:06:07 PM,10.142.11.5,Switch 2,C9300-48UXM,C9300-48UXM,V03,FOC2713Y369
BERLOSX0705,1/9/2024 11:06:07 PM,10.142.11.5,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOG2707A5T2
BERLOSX0705,1/9/2024 11:06:07 PM,10.142.11.5,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOG2707A5UF
BERLOSX0705,1/9/2024 11:06:07 PM,10.142.11.5,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC-P,V01,LIT2712CWP2
BERLOSX0705,1/9/2024 11:06:07 PM,10.142.11.5,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC-P,V01,LIT2712CWND
BERLOSX0705,1/9/2024 11:06:07 PM,10.142.11.5,Switch 2 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FVH2713053T
BERLOSX0705,1/9/2024 11:06:07 PM,10.142.11.5,Twe2/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS262205S2
BERLOSX0602,1/9/2024 11:06:14 PM,10.142.11.2,c93xx Stack,c93xx Stack,C9300-48UXM,V03,FOC2713Y25Q
BERLOSX0602,1/9/2024 11:06:14 PM,10.142.11.2,Switch 1,C9300-48UXM,C9300-48UXM,V03,FOC2713Y25Q
BERLOSX0602,1/9/2024 11:06:14 PM,10.142.11.2,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOG2707A3J9
BERLOSX0602,1/9/2024 11:06:14 PM,10.142.11.2,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOG2707A2XF
BERLOSX0602,1/9/2024 11:06:14 PM,10.142.11.2,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,LIT2712CQFQ
BERLOSX0602,1/9/2024 11:06:14 PM,10.142.11.2,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,LIT2712CQD4
BERLOSX0602,1/9/2024 11:06:14 PM,10.142.11.2,Switch 1 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FVH27130536
BERLOSX0602,1/9/2024 11:06:14 PM,10.142.11.2,Twe1/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS262203AN
BERLOSX0602,1/9/2024 11:06:14 PM,10.142.11.2,Switch 2,C9300-48UXM,C9300-48UXM,V03,FOC2713Y2G3
BERLOSX0602,1/9/2024 11:06:14 PM,10.142.11.2,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOG2707A2XF
BERLOSX0602,1/9/2024 11:06:14 PM,10.142.11.2,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOG2707A3J9
BERLOSX0602,1/9/2024 11:06:14 PM,10.142.11.2,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC-P,V01,LIT2712CWNX
