Hostname,Datetime,IP,Name,Description,PID,VID,SN
HAMLOSX001,1/9/2024 11:05:51 PM,10.140.11.1,c93xx Stack,c93xx Stack,C9300-48UXM,V05,FOC2542YGCX
HAMLOSX001,1/9/2024 11:05:51 PM,10.140.11.1,Switch 1,C9300-48UXM,C9300-48UXM,V05,FOC2542YGCX
HAMLOSX001,1/9/2024 11:05:51 PM,10.140.11.1,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC2532A2ND
HAMLOSX001,1/9/2024 11:05:51 PM,10.140.11.1,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOC2532A2P0
HAMLOSX001,1/9/2024 11:05:51 PM,10.140.11.1,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,ART2528P669
HAMLOSX001,1/9/2024 11:05:51 PM,10.140.11.1,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,ART2528P5RV
HAMLOSX001,1/9/2024 11:05:51 PM,10.140.11.1,Switch 1 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FOC25243CV7
HAMLOSX001,1/9/2024 11:05:51 PM,10.140.11.1,Twe1/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS261000SN
HAMLOSX001,1/9/2024 11:05:51 PM,10.140.11.1,Twe1/1/2,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS25250WBU
HAMLOSX001,1/9/2024 11:05:51 PM,10.140.11.1,Switch 2,C9300-48UXM,C9300-48UXM,V05,FOC2542YGBU
HAMLOSX001,1/9/2024 11:05:51 PM,10.140.11.1,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOC2532A2P0
HAMLOSX001,1/9/2024 11:05:51 PM,10.140.11.1,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOC2532A2ND
HAMLOSX001,1/9/2024 11:05:51 PM,10.140.11.1,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC-P,V01,ART2528P8B0
HAMLOSX001,1/9/2024 11:05:51 PM,10.140.11.1,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC-P,V01,ART2528P5RJ
HAMLOMX002,1/9/2024 11:05:50 PM,10.140.11.202,c93xx Stack,c93xx Stack,C9300-48UXM,V05,FOC2542YFYA
HAMLOMX002,1/9/2024 11:05:50 PM,10.140.11.202,Switch 1,C9300-48UXM,C9300-48UXM,V05,FOC2542YFYA
HAMLOMX002,1/9/2024 11:05:50 PM,10.140.11.202,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,ART2528P6B7
HAMLOMX002,1/9/2024 11:05:50 PM,10.140.11.202,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,ART2528P6DW
HAMLOMX002,1/9/2024 11:05:50 PM,10.140.11.202,Switch 1 FRU Uplink Module 1,2x40G Uplink Module,C9300-NM-2Q,V02,FOC25103U68
HAMLOMX002,1/9/2024 11:05:50 PM,10.140.11.202,Fo1/1/1,QSFP 40G AOC7M,QSFP-H40G-AOC7M,V03,DTS2447C046-B
HAMLOMX002,1/9/2024 11:05:50 PM,10.140.11.202,Fo1/1/2,QSFP 40G AOC7M,QSFP-H40G-AOC7M,V03,DTS2447C366-A
HAMLOSX002,1/9/2024 11:05:56 PM,10.140.11.2,c93xx Stack,c93xx Stack,C9300-48UXM,V05,FOC2542YGBK
HAMLOSX002,1/9/2024 11:05:56 PM,10.140.11.2,Switch 1,C9300-48UXM,C9300-48UXM,V05,FOC2542YGBK
HAMLOSX002,1/9/2024 11:05:56 PM,10.140.11.2,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2527DYFT
HAMLOSX002,1/9/2024 11:05:56 PM,10.140.11.2,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2527DYGQ
HAMLOSX002,1/9/2024 11:05:56 PM,10.140.11.2,Switch 1 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FOC25243CAM
HAMLOSX002,1/9/2024 11:05:56 PM,10.140.11.2,Twe1/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS252607LB
HAMLOSX002,1/9/2024 11:05:56 PM,10.140.11.2,Twe1/1/2,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS252607MH
